Client Name,Count of PRIMARY_FAC_ID,Facility Name,Emission Amount(In Tons),Facility Type,Latitude,Longitude
EXCO RESOURCES PA LLC,1,TICKLE FARM PAD 2H,5.2813,GasWell,40.842967,-79.473094
EXCO RESOURCES PA LLC,1,TICKLE FARM PAD 3H,7.62649,GasWell,40.843018,-79.473068
EXCO RESOURCES PA LLC,1,TICKLE FARM PAD 4H,5.29861,GasWell,40.843069,-79.473042
XTO ENERGY INC,1,KOZIK BROTHERS B UNIT 7H,1.31339,GasWell,40.843075,-79.831247
XTO ENERGY INC,1,KOZIK BROTHERS UNIT 4H,237.29508,GasWell,40.843086,-79.831281
XTO ENERGY INC,1,KOZIK BROTHERS UNIT 3H,249.54424,GasWell,40.843094,-79.831314
XTO ENERGY INC,1,KOZIK BROTHERS UNIT 2H,236.11903,GasWell,40.843103,-79.831347
XTO ENERGY INC,1,KOZIK BROTHERS UNIT 1H,236.12894,GasWell,40.843111,-79.831383
MDS ENERGY DEV LLC,1,R MORRIS 1M,116.80859,GasWell,40.845425,-79.553778
PENNENERGY RESOURCES LLC,1,CARSON UNIT 1H,689.01045,GasWell,40.846461,-80.032267
XTO ENERGY INC,1,AK STEEL A UNIT 2H,628.48462,GasWell,40.846578,-79.935097
XTO ENERGY INC,1,AK STEEL A UNIT 1H,678.53022,GasWell,40.846578,-79.935133
SNYDER BROS INC,1,MINTEER-CONAWAY UNIT 1M,1.51793,GasWell,40.847164,-79.612275
XTO ENERGY INC,1,KOZIK BROS CONST INC 2,97.96645,GasWell,40.847569,-79.837178
SNYDER BROS INC,1,SMITH-BARGERSTOCK 1,1.51793,GasWell,40.847967,-79.620567
PENNENERGY RESOURCES LLC,1,WARNER UNIT 1H,709.87608,GasWell,40.848072,-80.113761
EXCO RESOURCES PA LLC,1,CLAYPOOLE 1H,5.35341,GasWell,40.849286,-79.613797
SNYDER BROS INC,1,FURNACE RUN IH,258.72349,GasWell,40.851261,-79.544492
SNYDER BROS INC,1,FURNACE RUN 2H,258.72349,GasWell,40.851283,-79.544428
SNYDER BROS INC,1,FURNACE RUN 3H,258.72349,GasWell,40.851306,-79.544361
SNYDER BROS INC,1,FURNACE RUN 4H,257.31746,GasWell,40.851328,-79.544294
XTO ENERGY INC,1,DREHER B UNIT 6HB,216.58878,GasWell,40.851667,-79.823781
XTO ENERGY INC,1,DREHER A UNIT 4H,3.86628,GasWell,40.851678,-79.823747
XTO ENERGY INC,1,DREHER A UNIT 3H,3.79975,GasWell,40.85168,-79.823681
XTO ENERGY INC,1,DREHER A UNIT 5H,0.00214,GasWell,40.851686,-79.823713
XTO ENERGY INC,1,DREHER B UNIT 2H,0.79593,GasWell,40.851706,-79.823644
XTO ENERGY INC,1,DREHER B UNIT 5H,0,GasWell,40.851714,-79.823611
XTO ENERGY INC,1,DREHER B UNIT 4H,0.00148,GasWell,40.851725,-79.823577
XTO ENERGY INC,1,DREHER A UNIT 1H,138.13755,GasWell,40.851733,-79.823544
XTO ENERGY INC,1,DREHER B UNIT 1H,36.69285,GasWell,40.851742,-79.823508
